kode;diskripsi;lastcnt;dept
1;SANDY;10000;
2;HI-PET;20000;
3;OCTAGON;30000;
4;TRIDAYA / FRISKIES;40000;
5;KALBE;50000;
6;PET JING2X;60000;
7;TIGA RAKSA / PDG;70000;
8;PASIR / PAK EDI;80000;
9;MAJALAH INDODOG;90000;
10;AUSIENDO;100000;
11;EUKANOBA;110000;
12;SCIENT DIET;120000;
13;SPECTRE;130000;
14;PENGANGON;140000;
15;COLLAR KULIT / JOGJA;150000;
16;SANITISER;160000;
17;GUYOVITAL / CROC;170000;FOOD
18;ROYAL CANIN;180000;
19;ZACHARIAS;190000;
20;LIMAN;200000;
21;C.P.;210000;
22;WELL;220000;
23;PET LIN'Z / WIBOWO;230000;
24;BONA PET;240000;
25;ASUNTOL / PAK ROBBY;250000;
26;PAWLOSOPHY / PAK BENNY;260000;
27;OWN;270000;
28;AGNES;280000;
29;OVEN BAKED;290000;
30;SERBUK PAK TAMAN;300000;
31;MK VET;310000;KEDOKTERAN
32;ARISTA;320000;
33;JULOVA CAT CRAFT / CHACHA;330000;
34;CEE STAR;340000;
35;INAPET;1000;INAPET
40;TOMY COLLAR;1000;TOMY COLLAR
41;PAK AGUS PASIR CLUMPING;1000;PASIR
42;PET ZONE ENDRI;1000;BANTAL
43;INDOMARCO;1000;INDOMARCO
44;ANIMALE;1000;SHAMPOO
45;CLUMPING DARUSMAN;1000;PASIR CLUMPING
46;SUSU GOLDEN;1000;SUSU
47;SERBUK VICTOR;1000;SERBUK
48;KRI MAGIC PETS;1000;PENGHILANG BAU
49;CICITA BAGS;1000;TAS
50;VIRBAC;1000;SHAMPOO
51;CV SUBUR RAYA INDONESIA;1000;
52;POP SMELL;1000;
53;DGF SHEILA;1000;
54;PASIR CUB N KIT;1000;PASIR
55;SAFETY FAUNA;1000;
56;DOLBY JOGJA;1000;
57;GOLDEN WESTINDO ARTAJAYA;1000;
58;JOE PET;1000;
59;MIN MON MILK;1000;
60;JAWARA;1000;KANDANG
61;ZONA VETERINER;1000;
62;OLEGO;1000;
63;RAMA SURABAYA KALUNG;1000;
64;ROFACA;1000;
65;TAN SIMPLE SOLUTION;1000;
66;MAXINDO SEMARANG;1000;
67;ZEOTIS;1;
68;BAJU KEDIRI;1;
69;NUTRI STAR;1;
70;SNACK SURABAYA;1000;
71;MJ HARNES KULIT;1000;
72;PHIZER;1000;OBAT
73;BALLY PET;1000;
74;PT SISTAR INDONESIA;1000;
